arm,question_topic,order
T4_CLEAR_PERSUASION,opener,1.0
T4_CLEAR_PERSUASION,t4_reaction_relevance,3.0
T4_CLEAR_PERSUASION,t4_habits_map,5.0
T4_CLEAR_PERSUASION,t4_direct_harms,7.0
T4_CLEAR_PERSUASION,t4_benefits_ask,9.0
T4_CLEAR_PERSUASION,t4_benefits_counter,11.0
T4_CLEAR_PERSUASION,t4_importance_scale,13.0
T4_CLEAR_PERSUASION,t4_importance_to_plan,15.0
T4_CLEAR_PERSUASION,t4_plan_or_benchmarks,17.0
T4_CLEAR_PERSUASION,t4_commitment_rule,19.0
T4_CLEAR_PERSUASION,t4_enforcement,21.0
T4_CLEAR_PERSUASION,t4_confidence_scale2,23.0
T4_CLEAR_PERSUASION,t4_confidence_strengthen,25.0
T4_CLEAR_PERSUASION,t4_barriers_solutions,27.0
T4_CLEAR_PERSUASION,t4_closing_summary,29.0
TIME_USE,opener,1.0
TIME_USE,followup_morning_routine,3.0
TIME_USE,question_midday,5.0
TIME_USE,question_evening,7.0
TIME_USE,follow_up_evening,9.0
TIME_USE,planning_question,11.0
TIME_USE,question_routines,13.0
TIME_USE,seasonal_variation,15.0
TIME_USE,seasonal_variation_followup,17.0
TIME_USE,question_differences,19.0
TIME_USE,wrap_up,21.0
TIME_USE,summarizing_statement,23.0
T1_MI_CHANGE,opener,1.0
T1_MI_CHANGE,followup_past_negatives,3.0
T1_MI_CHANGE,deepen_negative_impacts,5.0
T1_MI_CHANGE,followup_2_past_negatives,7.0
T1_MI_CHANGE,values_future_vision,9.0
T1_MI_CHANGE,summary_understanding,11.0
T1_MI_CHANGE,first_scaling_question,13.0
T1_MI_CHANGE,followup_first_scaling_question,15.0
T1_MI_CHANGE,dig_deeper_first_scaling_question,17.0
T1_MI_CHANGE,second_scaling_question,19.0
T1_MI_CHANGE,followup_second_scaling_question,21.0
T1_MI_CHANGE,ability_booster_strengths,23.0
T1_MI_CHANGE,confidence_past_success,25.0
T1_MI_CHANGE,menu_of_choices_1,27.0
T1_MI_CHANGE,action_step,29.0
T1_MI_CHANGE,review_interview,31.0
T1_MI_CHANGE,wrap_up,33.0
T2_MI_AMBIVALENCE,opener,1.0
T2_MI_AMBIVALENCE,followup_past_positives,3.0
T2_MI_AMBIVALENCE,deepen_positives,5.0
T2_MI_AMBIVALENCE,followup_past_negatives,7.0
T2_MI_AMBIVALENCE,deepen_negatives,9.0
T2_MI_AMBIVALENCE,values_discrepancy,11.0
T2_MI_AMBIVALENCE,summary_understanding,13.0
T2_MI_AMBIVALENCE,first_scaling_question,15.0
T2_MI_AMBIVALENCE,importance_followup_lower,17.0
T2_MI_AMBIVALENCE,importance_followup_higher,19.0
T2_MI_AMBIVALENCE,imagine_consequences,21.0
T2_MI_AMBIVALENCE,second_scaling_question,23.0
T2_MI_AMBIVALENCE,confidence_followup_lower,25.0
T2_MI_AMBIVALENCE,confidence_followup_higher,27.0
T2_MI_AMBIVALENCE,strengths_past_success,29.0
T2_MI_AMBIVALENCE,menu_of_choices_1,31.0
T2_MI_AMBIVALENCE,action_step,33.0
T2_MI_AMBIVALENCE,review_interview,35.0
T2_MI_AMBIVALENCE,wrap_up,37.0
TIME_USE,routine_change_wish,15.0
TIME_USE,routine_change_followup,17.0
