arm,arm_code,question_topic,question_number,question_name,categories,n,n_sessions,position,status
Change Talk,T1_MI_CHANGE,opener,1.0,Opening question,Opener/Conclusion,730,730,1.0,included
Change Talk,T1_MI_CHANGE,followup_past_negatives,2.0,Follow-up: past negatives,Change-Eliciting,723,723,3.0,included
Change Talk,T1_MI_CHANGE,deepen_negative_impacts,3.0,Deepen: negative impacts,Change-Eliciting,722,722,5.0,included
Change Talk,T1_MI_CHANGE,followup_2_past_negatives,4.0,Follow-up 2: past negatives,Change-Eliciting,721,721,7.0,included
Change Talk,T1_MI_CHANGE,values_future_vision,5.0,Values & future vision,Change-Eliciting,716,716,9.0,included
Change Talk,T1_MI_CHANGE,summary_understanding,6.0,Summary check-in,Reflective Summary,704,704,11.0,included
Change Talk,T1_MI_CHANGE,first_scaling_question,7.0,First scaling question,Scaling,696,696,13.0,included
Change Talk,T1_MI_CHANGE,followup_first_scaling_question,8.0,Follow-up: first scaling question,Change-Eliciting,687,687,15.0,included
Change Talk,T1_MI_CHANGE,dig_deeper_first_scaling_question,9.0,Dig deeper: first scaling question,Change-Eliciting,674,674,17.0,included
Change Talk,T1_MI_CHANGE,second_scaling_question,10.0,Second scaling question,Scaling,648,648,19.0,included
Change Talk,T1_MI_CHANGE,followup_second_scaling_question,11.0,Follow-up: second scaling question,Change-Eliciting,634,634,21.0,included
Change Talk,T1_MI_CHANGE,ability_booster_strengths,12.0,Strengths & abilities,Plan Commitment,626,626,23.0,included
Change Talk,T1_MI_CHANGE,confidence_past_success,13.0,Confidence: past success,Change-Eliciting,598,598,25.0,included
Change Talk,T1_MI_CHANGE,menu_of_choices_1,14.0,Menu of choices,Plan Commitment,577,577,27.0,included
Change Talk,T1_MI_CHANGE,action_step,15.0,Action step,Plan Commitment,556,556,29.0,included
Change Talk,T1_MI_CHANGE,review_interview,16.0,Interview review,Reflective Summary,535,535,31.0,included
Change Talk,T1_MI_CHANGE,wrap_up,17.0,Wrap-up,Opener/Conclusion,528,528,33.0,included
Decisional Balance,T2_MI_AMBIVALENCE,opener,1.0,Opening question,Opener/Conclusion,724,724,1.0,included
Decisional Balance,T2_MI_AMBIVALENCE,followup_past_positives,2.0,Follow-up: past positives,Ambivalence-Balancing,715,715,3.0,included
