session_id,miti_dimension,run_id,dataset,model,condition,replicate,prompt_variant,score
MI-MAINEXP-10045242,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10045242,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10045242,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-10045242,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10085027,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10085027,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10085027,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10085027,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10127525,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10127525,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10127525,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10127525,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-10162360,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10162360,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10162360,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10162360,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,2
MI-MAINEXP-10221599,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10221599,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10221599,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10221599,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,5
MI-MAINEXP-10306466,Cultivating Change Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10306466,Empathy,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
MI-MAINEXP-10306466,Partnership,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,3
MI-MAINEXP-10306466,Softening Sustain Talk,20260910T215439Z_9e5f325e__treated__gpt-5.6-luna__ablation,treated,gpt-5.6-luna,ablation,0,ablation,4
